127.0.0.1 - - [24/May/2021:16:50:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:03 +0530] "GET /TheLaundryMart/home.jsp HTTP/1.1" 200 31134
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:03 +0530] "GET /TheLaundryMart/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/vendor/menu/menu.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/gallery/d1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/gallery/d2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/gallery/d3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/gallery/d4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/gallery/d6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/gallery/d5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /img/bg2.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/vendor/menu/menu.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/gallery/d7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/gallery/d8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img//gallery/d9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/d9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/d11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/d12.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/d19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/d15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/d17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/gallery/d18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/testimonials/testimonials-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/testimonials/testimonials-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/testimonials/testimonials-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/testimonials/testimonials-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:16:51:04 +0530] "GET /TheLaundryMart/assets/img/testimonials/testimonials-1.png HTTP/1.1" 304 -
